Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Micromesistius,australis,-61.75,-52.75,5605:112:4,0.01
Micromesistius,australis,-61.25,-53.25,5605:113:1,0.02
Micromesistius,australis,-61.25,-53.75,5605:113:2,0.05
Micromesistius,australis,-61.75,-53.25,5605:113:3,0.02
Micromesistius,australis,-61.75,-53.75,5605:113:4,0.02
Micromesistius,australis,-61.25,-54.25,5605:114:1,0.06
Micromesistius,australis,-61.25,-54.75,5605:114:2,0.08
Micromesistius,australis,-61.75,-54.25,5605:114:3,0.03
Micromesistius,australis,-61.75,-54.75,5605:114:4,0.03
Micromesistius,australis,-62.25,-54.25,5605:124:1,0.01
Micromesistius,australis,-62.25,-54.75,5605:124:2,0.01
Micromesistius,australis,-60.75,-55.25,5605:205:3,0.12
Micromesistius,australis,-60.75,-55.75,5605:205:4,0.12
Micromesistius,australis,-60.75,-56.25,5605:206:3,0.02
Micromesistius,australis,-61.25,-55.25,5605:215:1,0.09
Micromesistius,australis,-61.25,-55.75,5605:215:2,0.1
Micromesistius,australis,-61.75,-55.25,5605:215:3,0.06
Micromesistius,australis,-61.75,-55.75,5605:215:4,0.07
Micromesistius,australis,-61.25,-56.25,5605:216:1,0.11
Micromesistius,australis,-61.25,-56.75,5605:216:2,0.12
Micromesistius,australis,-61.75,-56.25,5605:216:3,0.06
Micromesistius,australis,-61.75,-56.75,5605:216:4,0.08
Micromesistius,australis,-61.25,-57.25,5605:217:1,0.11
Micromesistius,australis,-61.25,-57.75,5605:217:2,0.11
Micromesistius,australis,-61.75,-57.25,5605:217:3,0.09
Micromesistius,australis,-61.75,-57.75,5605:217:4,0.1
Micromesistius,australis,-61.25,-58.25,5605:218:1,0.08
Micromesistius,australis,-61.75,-58.25,5605:218:3,0.1
Micromesistius,australis,-61.75,-58.75,5605:218:4,0.1
Micromesistius,australis,-61.75,-59.25,5605:219:3,0.11
Micromesistius,australis,-61.75,-59.75,5605:219:4,0.1
Micromesistius,australis,-62.25,-55.25,5605:225:1,0.02
Micromesistius,australis,-62.25,-55.75,5605:225:2,0.02
Micromesistius,australis,-62.25,-56.25,5605:226:1,0.04
Micromesistius,australis,-62.25,-56.75,5605:226:2,0.05
Micromesistius,australis,-62.75,-56.75,5605:226:4,0.01
Micromesistius,australis,-62.25,-57.25,5605:227:1,0.07
Micromesistius,australis,-62.25,-57.75,5605:227:2,0.07
Micromesistius,australis,-62.75,-57.25,5605:227:3,0.02
Micromesistius,australis,-62.75,-57.75,5605:227:4,0.03
Micromesistius,australis,-62.25,-58.25,5605:228:1,0.08
Micromesistius,australis,-62.25,-58.75,5605:228:2,0.08
Micromesistius,australis,-62.75,-58.25,5605:228:3,0.04
Micromesistius,australis,-62.75,-58.75,5605:228:4,0.06
Micromesistius,australis,-62.25,-59.25,5605:229:1,0.08
Micromesistius,australis,-62.25,-59.75,5605:229:2,0.09
Micromesistius,australis,-62.75,-59.25,5605:229:3,0.07
Micromesistius,australis,-62.75,-59.75,5605:229:4,0.08
Micromesistius,australis,-63.25,-58.25,5605:238:1,0.01
Micromesistius,australis,-63.25,-58.75,5605:238:2,0.02
Micromesistius,australis,-63.25,-59.25,5605:239:1,0.03
Micromesistius,australis,-63.25,-59.75,5605:239:2,0.04
Micromesistius,australis,-63.75,-59.25,5605:239:3,0.02
Micromesistius,australis,-63.75,-59.75,5605:239:4,0.03
Micromesistius,australis,-61.75,-60.25,5606:110:3,0.1
Micromesistius,australis,-62.25,-60.25,5606:120:1,0.1
Micromesistius,australis,-62.25,-60.75,5606:120:2,0.1
Micromesistius,australis,-62.75,-60.25,5606:120:3,0.09
Micromesistius,australis,-62.75,-60.75,5606:120:4,0.1
Micromesistius,australis,-62.25,-61.25,5606:121:1,0.09
Micromesistius,australis,-62.25,-61.75,5606:121:2,0.09
Micromesistius,australis,-62.75,-61.25,5606:121:3,0.1
Micromesistius,australis,-62.75,-61.75,5606:121:4,0.1
Micromesistius,australis,-62.25,-62.25,5606:122:1,0.09
Micromesistius,australis,-62.75,-62.25,5606:122:3,0.09
Micromesistius,australis,-62.75,-62.75,5606:122:4,0.08
Micromesistius,australis,-62.75,-63.25,5606:123:3,0.08
Micromesistius,australis,-62.75,-63.75,5606:123:4,0.03
Micromesistius,australis,-63.25,-60.25,5606:130:1,0.06
Micromesistius,australis,-63.25,-60.75,5606:130:2,0.07
Micromesistius,australis,-63.75,-60.25,5606:130:3,0.04
Micromesistius,australis,-63.75,-60.75,5606:130:4,0.05
Micromesistius,australis,-63.25,-61.25,5606:131:1,0.09
Micromesistius,australis,-63.25,-61.75,5606:131:2,0.1
Micromesistius,australis,-63.75,-61.25,5606:131:3,0.06
Micromesistius,australis,-63.75,-61.75,5606:131:4,0.08
Micromesistius,australis,-63.25,-62.25,5606:132:1,0.09
Micromesistius,australis,-63.25,-62.75,5606:132:2,0.08
Micromesistius,australis,-63.75,-62.25,5606:132:3,0.08
Micromesistius,australis,-63.75,-62.75,5606:132:4,0.07
Micromesistius,australis,-63.25,-63.25,5606:133:1,0.08
Micromesistius,australis,-63.25,-63.75,5606:133:2,0.07
Micromesistius,australis,-63.75,-63.25,5606:133:3,0.06
Micromesistius,australis,-63.75,-63.75,5606:133:4,0.06
Micromesistius,australis,-63.25,-64.25,5606:134:1,0.07
Micromesistius,australis,-63.25,-64.75,5606:134:2,0.07
Micromesistius,australis,-63.75,-64.25,5606:134:3,0.06
Micromesistius,australis,-63.75,-64.75,5606:134:4,0.06
Micromesistius,australis,-64.25,-60.75,5606:140:2,0.03
Micromesistius,australis,-64.25,-61.25,5606:141:1,0.06
Micromesistius,australis,-64.25,-61.75,5606:141:2,0.08
Micromesistius,australis,-64.75,-61.75,5606:141:4,0.05
Micromesistius,australis,-64.25,-62.25,5606:142:1,0.08
Micromesistius,australis,-64.25,-62.75,5606:142:2,0.07
Micromesistius,australis,-64.75,-62.25,5606:142:3,0.07
Micromesistius,australis,-64.75,-62.75,5606:142:4,0.07
Micromesistius,australis,-64.25,-64.75,5606:144:2,0.05
Micromesistius,australis,-64.75,-64.25,5606:144:3,0.03
Micromesistius,australis,-64.75,-64.75,5606:144:4,0.03
Micromesistius,australis,-64.25,-63.25,5606:143:1,0.06
Micromesistius,australis,-64.25,-63.75,5606:143:2,0.04
Micromesistius,australis,-64.75,-63.25,5606:143:3,0.04
Micromesistius,australis,-64.75,-63.75,5606:143:4,0.03
Micromesistius,australis,-64.25,-64.25,5606:144:1,0.04
Micromesistius,australis,-63.75,-65.25,5606:235:3,0.06
Micromesistius,australis,-63.75,-65.75,5606:235:4,0.06
Micromesistius,australis,-63.75,-66.25,5606:236:3,0.05
Micromesistius,australis,-64.25,-65.25,5606:245:1,0.05
Micromesistius,australis,-64.25,-65.75,5606:245:2,0.05
Micromesistius,australis,-64.75,-65.25,5606:245:3,0.04
